Plugin,Menu,Section,Type,English,Japanese
"LazyCrucible","","","","Antiparalysis serum or Crimson Ribbon to pre-resist","抗麻痺血清またはクリムゾンリボンを事前に耐性化"
"LazyCrucible","","","","Antiparalysis serum, Genji Gloves or Crimson Ribbon for Thunderbolt","麻痺血清、源氏グローブ、またはサンダーボルト用クリムゾンリボン"
"LazyCrucible","","","","Antling",""
"LazyCrucible","","","","Antling: slashing x3, crowd control","アントリング: 斬撃 x3、群衆 加工精度"
"LazyCrucible","","","","Antling: slashing, crowd control","アントリング: 斬撃、群衆 加工精度"
"LazyCrucible","","","","AoE each Bone Bishop pack before Soul Douse; keep 4 or fewer light orbs on the floor.","Soul Douseの前に各Bone BishopパックをAoEします。床に光のオーブを4つ以下にしておきます。"
"LazyCrucible","","","","AoE for the zombies: a stunning AoE release then Parting Blow, or a fang","ゾンビの範囲: 見事な範囲 リリース、その後の別れの一撃、または牙"
"LazyCrucible","","","","Aqueous Discharge (2.5 s)","水性放電 (2.5 秒)"
"LazyCrucible","","","","Arboreal Storm (5 s)","樹上の嵐 (5 秒)"
"LazyCrucible","","","","Arcane Blast (8 s)","アーケインブラスト(8秒)"
"LazyCrucible","","","","Arcane Enhancement (5 s)","秘術強化(5秒)"
"LazyCrucible","","","","Arch Demon Piece","アークデーモンピース"
"LazyCrucible","","","","arch demon piece (enemy)","アークデーモンピース（敵）"
"LazyCrucible","","","","Arch Demon Piece (enemy)","アークデーモンピース(敵)"
"LazyCrucible","","","","arch demon piece: Lightning","アークデーモンピース：ライトニング"
"LazyCrucible","","","","Arm and Hammer (5.6 s)","アームとハンマー (5.6 秒)"
"LazyCrucible","","","","Atomic Ray (13 s)","原子線 (13 秒)"
"LazyCrucible","","","","Atomos piece (enemy, random space)","アトモスピース（敵、ランダムスペース）"
"LazyCrucible","","","","Atomos Piece + Red Gremlin Piece + Gremlin Piece + Pudding Piece + Bavarois Piece + Flan Piece + Vodoriga Piece + Menacing Dahak Piece","アトモスの欠片 + レッドグレムリンの欠片 + グレムリンの欠片 + プリンの欠片 + ババロアの欠片 + フランの欠片 + ヴォドリガの欠片 + 脅威のダハークの欠片"
"LazyCrucible","","","","Atomos Piece + Red Gremlin Piece + Gremlin Piece + Pudding Piece + Bavarois Piece + Flan Piece + Vodoriga Piece + Menacing Dahak Piece (enemy, random)","アトモスの欠片 + レッドグレムリンの欠片 + グレムリンの欠片 + プリンの欠片 + ババロアの欠片 + フランの欠片 + ヴォドリガの欠片 + 脅威のダハークの欠片 (敵、ランダム)"
"LazyCrucible","","","","Atomos piece: Blunt; red gremlin piece: Piercing; gremlin piece: Piercing; pudding piece: Wind; bavarois piece: Lightning; flan piece: Earth; vodoriga piece: Piercing; menacing dahak piece: Ice","アトモスのピース: 鈍い。赤いグレムリンのピース: ピアス;グレムリンピース: ピアス;プリンピース：風。ババロアの部分: ライトニング;フランピース：地球。ヴォドリガ ピース: ピアス;脅威のダハクピース：アイス"
"LazyCrucible","","","","AutoDuty can run whole Crucible boards and fills the roster and horns with its own team (for example a leveling team). While it is running, LazyCrucible does not touch any Crucible screen, so the two never overwrite each other.","AutoDuty は、クルーシブル ボード全体を 周回／実行 することができ、独自のチーム (レベリング チームなど) で名簿とホーンを満たします。 実行中 ですが、LazyCrucible はるつぼの画面には触れないため、この 2 つが相互に上書きされることはありません。"
"LazyCrucible","","","","Bad-mouth (3 s)","悪口 (3 秒)"
"LazyCrucible","","","","banemite piece (enemy)","ベネマイトピース（敵）"
"LazyCrucible","","","","Banemite Piece + Miteling Piece","ベネマイトピース + マイテリングピース"
"LazyCrucible","","","","Banemite Piece + Miteling Piece (enemy)","ベネマイトピース＋マイテリングピース（敵）"
"LazyCrucible","","","","banemite piece: Ice; miteling piece: Ice","ベネマイトピース: 氷;マイトリングピース：アイス"
"LazyCrucible","","","","Banish (6 s)","バニッシュ(6秒)"
"LazyCrucible","","","","Bat",""
"LazyCrucible","","","","Bat: crowd control, Ultrasonics","Bat: 群衆 加工精度、超音波"
"LazyCrucible","","","","Bat: Ultrasonics","バット：超音波"
"LazyCrucible","","","","Bavarois, then Pudding, Flan and Dahak, then Gremlins and Vodoriga","ババロア、プリン、フラン、ダハーク、グレムリン、ヴォドリガ"
"LazyCrucible","","","","Beast Feed: pick who eats the feed and confirm","獣の餌: 餌を食べる人を選択して確認します"
"LazyCrucible","","","","Beast picks by battle","バトルで選ぶビースト"
"LazyCrucible","","","","Beastly Aura (7 s)","野獣のオーラ(7秒)"
"LazyCrucible","","","","Beastskin (Beastkin borrow) before the pull","開戦／釣る 以前の Beastskin (Beastkin 借用)"
"LazyCrucible","","","","Beastskin (Beastkin borrow); a paralysis-resist release for Thunderbolt","Beastskin (獣人の借用);サンダーボルト用麻痺耐性リリース"
"LazyCrucible","","","","Beastskin for the first Mortal Ray","最初のモータル レイのビーストスキン"
"LazyCrucible","","","","Bedrock Uplift (5 s)","岩盤隆起(5秒)"
"LazyCrucible","","","","Beguiling Mist (5 s)","魅惑のミスト(5秒)"
"LazyCrucible","","","","Behemoth",""
"LazyCrucible","","","","behemoth piece (elite, random space)","ベヒーモスのピース（エリート、ランダムスペース）"
"LazyCrucible","","","","Behemoth Piece + Giant Piece + Lightning Sprite","ベヒモスの欠片 + ジャイアントの欠片 + ライトニングスプライト"
"LazyCrucible","","","","Behemoth Piece + Giant Piece + Lightning Sprite (elite, random)","ベヒモスのピース + ジャイアントのピース + ライトニング スプライト (エリート、ランダム)"
"LazyCrucible","","","","behemoth piece: Earth; giant piece: Lightning; lightning sprite: Earth","巨大なピース: 地球;巨大なピース: ライトニング。ライトニングスプライト：地球"
"LazyCrucible","","","","Behemoth: lightning","ベヒモス：雷"
"LazyCrucible","","","","Behemoth: lightning x4","ベヒモス：雷×4"
"LazyCrucible","","","","Bestial Roar (3 s)","獣の咆哮(3秒)"
"LazyCrucible","","","","Biloko and Sapling first, then Diremite, Slug, Treant","最初にビロコと苗木、次にディレマイト、スラッグ、トレント"
"LazyCrucible","","","","Black Cowl resists the Beguiling Mist sleep","黒頭巾は魅惑的な霧の眠りに抵抗する"
"LazyCrucible","","","","Black Eruption (6 s)","ブラック・イラプション(6秒)"
"LazyCrucible","","","","Blanket Thunder (5 s)","ブランケットサンダー(5秒)"
"LazyCrucible","","","","Blaze Spikes (3 s)","ブレイズスパイク(3秒)"
"LazyCrucible","","","","Blazing Trail (8 s)","ブレイジング・トレイル (8秒)"
"LazyCrucible","","","","Blizzard",""
"LazyCrucible","","","","Blood Rain (6 s)","ブラッドレイン (6秒)"
"LazyCrucible","","","","Blood Sword (6 s)","ブラッドソード(6秒)"
"LazyCrucible","","","","Bloodcurdling Caw","血も凍るような牛"
"LazyCrucible","","","","Blowing Ring of Fire (5 s)","火の輪を吹く(5秒)"
"LazyCrucible","","","","blunt",""
"LazyCrucible","","","","blunt x2","鈍器×2"
"LazyCrucible","","","","blunt x2, Quelling Wave","鈍器×2、鎮める波"
"LazyCrucible","","","","blunt x3, crowd control","鈍い x3、群衆 加工精度"
"LazyCrucible","","","","blunt x4, crowd control","鈍い x4、群衆 加工精度"
"LazyCrucible","","","","blunt x4, crowd control, Quelling Wave","鈍い x4、群衆 加工精度、鎮める波"
"LazyCrucible","","","","blunt, crowd control","無愛想、群衆 加工精度"
"LazyCrucible","","","","blunt, crowd control, Quelling Wave","鈍い、群衆 加工精度、鎮める波"
"LazyCrucible","","","","Board",""
"LazyCrucible","","","","Bomb Toss / Goblin Hammer","ボムトス/ゴブリンハンマー"
"LazyCrucible","","","","Bomb, then Deepeye, then Light Sprite, then Boogyman","ボム、次にディープアイ、次にライトスプライト、そしてブギーマン"
"LazyCrucible","","","","Bone Bishop adds first, each pack together","ボーンビショップが最初に各パックを一緒に追加します"
"LazyCrucible","","","","Bone Bishop first; its ring and line casts are harder to dodge","まずはボーンビショップ。リングとラインキャストを避けるのが難しくなります"
"LazyCrucible","","","","Bone Bishop packs","ボーンビショップパック"
"LazyCrucible","","","","bone knight (enemy)","骨の騎士（敵）"
"LazyCrucible","","","","Bone Knight + Bone Bishop","ボーンナイト + ボーンビショップ"
"LazyCrucible","","","","Bone Knight + Bone Bishop (enemy)","ボーンナイト＋ボーンビショップ（敵）"
"LazyCrucible","","","","bone knight: Blunt; bone bishop: Blunt","骨の騎士：ブラント。ボーンビショップ：ブラント"
"LazyCrucible","","","","boogyman piece (enemy, random space)","ブギーマンピース（敵、ランダムスペース）"
"LazyCrucible","","","","Boogyman Piece + Deepeye Piece + Bomb Piece + Light Sprite","ブギーマンの欠片 + ディープアイの欠片 + ボムの欠片 + ライトスプライト"
"LazyCrucible","","","","Boogyman Piece + Deepeye Piece + Bomb Piece + Light Sprite (enemy, random)","ブギーマンの欠片 + ディープアイの欠片 + ボムの欠片 + ライトスプライト (敵、ランダム)"
"LazyCrucible","","","","boogyman piece: Ice; deepeye piece: Wind; bomb piece: Wind; light sprite: None","ブギーマンピース：アイス。ディープアイピース: 風;爆弾のピース: 風;ライトスプライト：なし"
"LazyCrucible","","","","Borgny the Venomous (boss)","毒のボルグニー (ボス)"
"LazyCrucible","","","","Borgny the Venomous + Toxic Mass","ボルグニー・ザ・ヴェノマス＋トキシック・マス"
"LazyCrucible","","","","Borgny the Venomous + Toxic Mass (boss)","ボルグニー・ザ・ヴェノマス+トキシック・マス（ボス）"
"LazyCrucible","","","","Borgny the Venomous: Earth; toxic mass: Water","毒ボルグニー：地球。有毒物質: 水"
"LazyCrucible","","","","Both Lamias evenly (interrupt Raise), then petrified Cyclopes","両方のラミアが均等に (詠唱中断 蘇生)、その後石化したサイクロプス"
"LazyCrucible","","","","Break the shell and kill the Ymir, then the Sahagin; strong teams burst the Sahagin first","殻を破り、ユミルを殺し、次にサハギンを殺します。強いチーム バースト 最初のサハギン"
"LazyCrucible","","","","Bring",""
"LazyCrucible","","","","Bring 100% poison resist; drop vomit puddles center; kill Wriggling Phlegm adds fast.","100%の毒耐性をもたらします。嘔吐物の水たまりの中心を落とします。蠢く痰を殺すと速く追加されます。"
"LazyCrucible","","","","Bug and Cobra adds first, then Dreadnaught, Drone, Footman, boss last","バグとコブラが最初に追加され、次にドレッドノート、ドローン、フットマン、最後にボスが追加されます"
"LazyCrucible","","","","Bug Pieces","バグピース"
"LazyCrucible","","","","Burning Cyclone (5 s)","バーニングサイクロン(5秒)"
"LazyCrucible","","","","Burning Ward (3 s)","灼熱病棟(3秒)"
"LazyCrucible","","","","Burst (3 s)","バースト (3秒)"
"LazyCrucible","","","","Burst before Burning Ward; if the Ogre shields, kill every wisp before it reaches center.","Burning Ward の前は バースト。オーガがシールドしている場合は、中央に到達する前にすべてのウィスプを倒します。"
"LazyCrucible","","","","Burst it: rolling eye orbs petrify if you face them; go behind for Sinister Gleam.","バースト それ: 回転する目のオーブに直面すると石化します。シニスター・グリームのために後ろに下がります。"
"LazyCrucible","","","","Burst to skip riddles; stand on a number matching your buff; pick the named beast.","バースト は謎をスキップします。 強化効果／バフ と一致する番号の上に立ってください。名前付きの獣を選択します。"
"LazyCrucible","","","","Cacophony (3 s)","不協和音 (3 秒)"
"LazyCrucible","","","","Cactguard",""
"LazyCrucible","","","","Calls for","を求める"
"LazyCrucible","","","","Camaraderie (8 s)","仲間意識 (8秒)"
"LazyCrucible","","","","campeador piece (enemy, random space)","カンピアドールピース（敵、ランダムスペース）"
"LazyCrucible","","","","Campeador Piece + Sabotender Piece + Flowertender Piece + Soldado Piece + Guardia Piece","キャンパーピース + サボテンダーピース + フラワーテンダーピース + ソルジャーピース + ガードピース"
"LazyCrucible","","","","Campeador Piece + Sabotender Piece + Flowertender Piece + Soldado Piece + Guardia Piece (enemy, random)","チャンピオンピース + サボテンダーピース + フラワーテンダーピース + ソルジャーピース + ガードピース (敵、ランダム)"
"LazyCrucible","","","","campeador piece: Lightning; sabotender piece: Lightning; flowertender piece: Lightning; soldado piece: Lightning; guardia piece: Ice","カンピアドールの作品: ライトニング;妨害者ピース: ライトニング;フラワーテンダーピース: ライトニング;ソルダードピース: ライトニング;ガーディアピース：アイス"
"LazyCrucible","","","","Campsite: select who rests (you press Rest)","キャンプ場: 休憩する人を選択します ([休憩] を押します)"
"LazyCrucible","","","","Catoblepas Piece","カトブレパスの欠片"
"LazyCrucible","","","","catoblepas piece (enemy)","カトブレパスのピース（敵）"
"LazyCrucible","","","","Catoblepas Piece (enemy)","カトブレパスの欠片（敵）"
"LazyCrucible","","","","catoblepas piece: Wind","カトブレパス作品：風"
"LazyCrucible","","","","Caustic Vomit (13 s)","腐食性嘔吐物 (13 秒)"
"LazyCrucible","","","","Cauterize (1 s)","焼灼(1秒)"
"LazyCrucible","","","","Cauterize (6 s)","焼灼 (6 秒)"
"LazyCrucible","","","","cavalier piece (enemy)","キャバリアピース（敵）"
"LazyCrucible","","","","Cavalier Piece + Bone Bishop","キャバリアピース + ボーンビショップ"
"LazyCrucible","","","","Cavalier Piece + Bone Bishop (enemy)","キャバリアピース＋ボーンビショップ（敵）"
"LazyCrucible","","","","cavalier piece: Fire; bone bishop: Blunt","キャバリアピース: 火。ボーンビショップ：ブラント"
"LazyCrucible","","","","Charge and Hammer (10 s)","チャージ＆ハンマー（10秒）"
"LazyCrucible","","","","Charged Lightning (5.8 s)","チャージライトニング (5.8秒)"
"LazyCrucible","","","","Charybdis (6 s)","カリュブディス (6秒)"
"LazyCrucible","","","","Chewchum stunned","びっくりしました"
"LazyCrucible","","","","Chimera Piece","キメラピース"
"LazyCrucible","","","","chimera piece (elite)","キメラピース（エリート）"
"LazyCrucible","","","","Chimera Piece (elite)","キメラピース（エリート）"
"LazyCrucible","","","","chimera piece: Water","キメラピース：水"
"LazyCrucible","","","","cleanse (Scouring Ash): Blind from Ripples of Gloom","解除 (Scouring Ash): 暗闇の波紋で目がくらむ"
"LazyCrucible","","","","cleanse (Scouring Ash): Blind from Sand Breath","解除 (Scouring Ash): 砂の息による失明"
"LazyCrucible","","","","cleanse (Scouring Ash): Blind from Sand Tempest (panel says not cleansable) — no horn pick brings it","解除 (Scouring Ash): Sand Tempest によるブラインド (パネルには洗浄不可と表示されています) — ホーンピックがそれをもたらすことはありません"
"LazyCrucible","","","","cleanse (Scouring Ash): Burns from Straight Punch","解除 (Scouring Ash): ストレートパンチによる火傷"
"LazyCrucible","","","","cleanse (Scouring Ash): Frostbite or Electrocution from the roars","解除 (Scouring Ash): 凍傷または轟音による感電死"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Carrion Broth hits","解除 (Scouring Ash): 腐肉汁ヒットによる麻痺"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Cross Charge","解除 (Scouring Ash): クロスチャージによる麻痺"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Erratic Blaster","解除 (Scouring Ash): エラティックブラスターによる麻痺"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Extremely Bad Breath","解除 (Scouring Ash): 極度の口臭による麻痺"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Glower","解除 (Scouring Ash): グローワーによる麻痺"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Thunderbolt (panel says not cleansable) — no horn pick brings it","解除 (Scouring Ash): Thunderbolt による麻痺 (パネルには浄化不可能と表示されています) — ホーンピックを使用しても麻痺は起こりません"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Void Paralyze","解除 (Scouring Ash): Void Paralyzeによる麻痺"
"LazyCrucible","","","","cleanse (Scouring Ash): Paralysis from Void Paralyze III","解除 (Scouring Ash): Void Paralyze III による麻痺"
"LazyCrucible","","","","cleanse (Scouring Ash): Poison from Cold Caress","解除 (Scouring Ash): 冷たい愛撫による毒"
"LazyCrucible","","","","cleanse (Scouring Ash): Poison from Deadly Thrust","解除 (Scouring Ash): デッドリースラストによる毒"
"LazyCrucible","","","","cleanse (Scouring Ash): Poison from Myconid bursts","解除 (Scouring Ash): マイコニッドバーストからの毒"
"LazyCrucible","","","","cleanse (Scouring Ash): Poison from Noxious Nova","解除 (Scouring Ash): Noxious Nova からの毒"
"LazyCrucible","","","","cleanse (Scouring Ash): Poison from Seedling hits","解除 (Scouring Ash): 苗木ヒットからの毒"
"LazyCrucible","","","","cleanse (Scouring Ash): Poison from Toxic Fumes","解除 (精練灰): 有毒ガスからの毒"
"LazyCrucible","","","","cleanse (Scouring Ash): Poison from Toxic Tantrum","解除 (Scouring Ash): 有毒な癇癪からの毒"
"LazyCrucible","","","","cleanse (Scouring Ash): Toxin without resist (panel says not cleansable) — no horn pick brings it","解除 (精練灰): 抵抗力のない毒素 (パネルには洗浄不可能と記載されています) — ホーンピックはそれをもたらしません"
"LazyCrucible","","","","cleanse (Scouring Ash): Windburn from Ancient Aero — no horn pick brings it","解除 (Scouring Ash): 古代エアロのウィンドバーン — ホーンピックはそれをもたらしません"
"LazyCrucible","","","","Clear each wave (it drains the Atomos); Bavarois first; share Fire III on a puddle.","各ウェーブをクリアします (ATOMOS を消耗します)。まずはババロア。水たまりで Fire III を共有します。"
"LazyCrucible","","","","Clear Mind (4 s)","クリアマインド(4秒)"
"LazyCrucible","","","","Cleaving auto-attack","切断自動攻撃"
"LazyCrucible","","","","Cleaving autos: Challenge, pet behind her. Keep blade lines off the wall statues.","自動車の切断: チャレンジ、彼女の後ろを撫でてください。刃の線が壁の彫像にかからないようにしてください。"
"LazyCrucible","","","","Club element (3 s)","クラブ要素 (3 秒)"
"LazyCrucible","","","","Coblyn",""
"LazyCrucible","","","","Coblyn: lightning x4","コブリン：稲妻×4"
"LazyCrucible","","","","Coblyn: lightning x5, Soul Crush","コブリン：ライトニング×5、ソウルクラッシュ"
"LazyCrucible","","","","Coeurl",""
"LazyCrucible","","","","Coeurl: lightning","クァール：雷"
"LazyCrucible","","","","Coeurl: lightning x3, crowd control","クァール：雷×3、群衆 加工精度"
"LazyCrucible","","","","Coeurl: lightning x4, crowd control","クァール：雷×4、群衆 加工精度"
"LazyCrucible","","","","Coeurl: lightning x5","クァール：雷×5"
"LazyCrucible","","","","Cold Caress (5 s)","冷たい愛撫(5秒)"
"LazyCrucible","","","","Combusting Blades (5 s)","燃焼ブレード (5 秒)"
"LazyCrucible","","","","Condemnation (3 s)","非難(3秒)"
"LazyCrucible","","","","Confound (8 s)","混乱(8秒)"
"LazyCrucible","","","","Constricting Evisceration (7 s)","締め付ける内臓除去 (7 秒)"
"LazyCrucible","","","","corpse flower piece (enemy, random space)","死体の花片（敵、ランダム空間）"
"LazyCrucible","","","","Corpse Flower Piece + Queen Hawk Piece","死体の花の欠片＋女王鷹の欠片"
"LazyCrucible","","","","Corpse Flower Piece + Queen Hawk Piece (enemy, random)","死体の花の欠片＋クイーンホークの欠片（敵、ランダム）"
"LazyCrucible","","","","corpse flower piece: Wind; queen hawk piece: Blunt","死体の花片：風。クイーンホークピース：ブラント"
"LazyCrucible","","","","Crawling Piece first, then Shambling Pieces, then the Siren","最初に這うピース、次にシャンブリングピース、そしてセイレン"
"LazyCrucible","","","","Crimson Ribbon covers blind and petrify","クリムゾンリボンは盲目と石化をカバーします"
"LazyCrucible","","","","Crimson Ribbon or Antipetrification serum","クリムゾンリボンまたは石化防止血清"
"LazyCrucible","","","","Cross Charge (4 s)","クロスチャージ(4秒)"
"LazyCrucible","","","","Crossbreeze (3 s)","横風（3秒）"
"LazyCrucible","","","","crowd control","群衆 加工精度"
"LazyCrucible","","","","crowd control, Scouring Ash","群衆 加工精度、精練する灰"
"LazyCrucible","","","","crowd control, Ultrasonics","群衆 加工精度、超音波"
"LazyCrucible","","","","Crucible Antidote, Scouring Ash (Ashkin) or Ultrasonics (bat) for Deadly Thrust poison","クルーシブル解毒剤、猛毒の精練灰 (アシュキン) または超音波 (バット)"
"LazyCrucible","","","","Crushing Blade (5 s)","粉砕ブレード(5秒)"
"LazyCrucible","","","","Cu Sith","シスとともに"
"LazyCrucible","","","","Cu Sith: ","シスとともに:"
"LazyCrucible","","","","Cu Sith: piercing","ク・シス：ピアス"
"LazyCrucible","","","","Curtains for Rank 5 (6 s)","ランク5用カーテン(6秒)"
"LazyCrucible","","","","Cyclops, then the gel you are not crushing, then small gels and the boss","サイクロプス、次に潰していないゲル、次に小さなゲルとボス"
"LazyCrucible","","","","Damselfly",""
"LazyCrucible","","","","Damselfly: wind, crowd control","イトトンボ: 風、群衆 加工精度"
"LazyCrucible","","","","Dangerous hits","危険なヒット"
"LazyCrucible","","","","Dark II (7 s)","ダークII(7秒)"
"LazyCrucible","","","","Dark Orb (8 s)","ダークオーブ(8秒)"
"LazyCrucible","","","","Daylight Pommery (10 s)","デイライト ポメリー (10 秒)"
"LazyCrucible","","","","Dead Man's Dirge (7 s)","デッドマンズ・ダージュ (7秒)"
"LazyCrucible","","","","Deadly Demesne (3 s)","致命的な支配 (3 秒)"
"LazyCrucible","","","","Deadly Hold (5 s)","デッドリーホールド(5秒)"
"LazyCrucible","","","","Deadly Thrust (5 s)","デッドリースラスト(5秒)"
"LazyCrucible","","","","Death Drive (7 s)","死亡／戦闘不能 ドライブ (7 秒)"
"LazyCrucible","","","","Death Spiral (6 s)","死亡／戦闘不能 スパイラル (6 秒)"
"LazyCrucible","","","","Death Throes","死亡／戦闘不能の苦しみ"
"LazyCrucible","","","","Demon eye orbs","魔眼の玉"
"LazyCrucible","","","","demon piece (enemy, random space)","デーモンピース(敵、ランダム空間)"
"LazyCrucible","","","","Demon Piece + Evil Weapon Piece + Devilet Piece","悪魔の欠片 + 悪の武器の欠片 + デビレットの欠片"
"LazyCrucible","","","","Demon Piece + Evil Weapon Piece + Devilet Piece (enemy, random)","悪魔の欠片 + 悪の武器の欠片 + デビレットの欠片 (敵、ランダム)"
"LazyCrucible","","","","demon piece: Slashing; evil weapon piece: Ice; devilet piece: Earth","悪魔の駒：斬撃。邪悪な武器の部分：氷。デビレットピース：アース"
"LazyCrucible","","","","Desolation (3.5 s)","荒廃 (3.5 秒)"
"LazyCrucible","","","","Devour",""
"LazyCrucible","","","","Diffuse Light (1.5 s)","拡散光 (1.5 秒)"
"LazyCrucible","","","","Diffusion Ray (5 s)","拡散光線 (5秒)"
"LazyCrucible","","","","Diremite",""
"LazyCrucible","","","","Diremite: ",""
"LazyCrucible","","","","Diremite: crowd control","ディレミテ: 群衆 加工精度"
"LazyCrucible","","","","Diremite: piercing","ディレマイト：ピアス"
"LazyCrucible","","","","Diremite: piercing x2, crowd control","ディレマイト: ピアス x2、クラウド 加工精度"
"LazyCrucible","","","","Diremite: piercing x3, crowd control","ディレマイト: ピアス x3、群衆 加工精度"
"LazyCrucible","","","","Diremite: piercing, crowd control","ディレマイト: ピアス、群衆 加工精度"
"LazyCrucible","","","","Dismember (4.5 s)","四肢切断(4.5秒)"
"LazyCrucible","","","","dispel (Quelling Wave): Blaze Spikes (Drake Piece)","ディスペル（鎮波）：ブレイズスパイク（ドレイクピース）"
