Plugin,Menu,Section,Type,English,Japanese
"YesAlready","","","","Automatically confirm the Fashion Reports results.","ファッションチェックの結果を自動で確定する。"
"YesAlready","","","","Automatically confirm when joining a party finder group.","パーティ募集に参加する際の確認を自動で承認する。"
"YesAlready","","","","Automatically confirms guild leves upon initiation at the highest difficulty.","最高難易度でギルドリーヴを開始する際の確認を自動で承認する。"
"YesAlready","","","","Automatically dispel glamours when using Glamour Dispellers.","ミラージュディスペラーを使用した際に、自動で武具投影を解除する。"
"YesAlready","","","","Automatically exchange items/currencies in various shops (e.g., scrip vendors).","各種ショップ（スクリップ取引窓口など）でアイテムや通貨を自動で交換する。"
"YesAlready","","","","Automatically fill requested items.","要求されたアイテムを自動でセットする。"
"YesAlready","","","","Automatically finalize submersible reports when the AirShipExplorationResult window opens.","潜水艦探索結果ウィンドウを開いた際に、潜水艦の探索報告を自動で確定する。"
"YesAlready","","","","Automatically leave the Crystalline Conflict match when the results appear.","クリスタルコンフリクトの結果が表示されたら、自動で退出する。"
"YesAlready","","","","Automatically leave the Frontline match when the results appear.","フロントラインの結果が表示されたら、自動で退出する。"
"YesAlready","","","","Automatically purchase a Jumbo Cactpot ticket with a random number.","ランダムな番号でジャンボ・くじテンダーのチケットを自動で購入する。"
"YesAlready","","","","Automatically quit Chocobo Racing when the results menu appears.","結果メニューが表示されたら、チョコボレースを自動で退出する。"
"YesAlready","","","","Automatically quit Lord of Verminion when the results menu appears.","結果メニューが表示されたら、ロード・オブ・ヴァーミニオンを自動で退出する。"
"YesAlready","","","","Automatically redeploy submersibles when the AirShipExplorationResult window opens.","潜水艦探索結果ウィンドウを開いた際に、潜水艦を自動で再出航させる。"
"YesAlready","","","","Automatically register for Blunderville when speaking with the Blunderville Registrar.","ブランダーヴィル受付係に話しかけた際に、自動で参加登録する。"
"YesAlready","","","","Automatically select a kupo of fortune reward. This will instantly complete a single kupo ticket but is unable to continue to the next automatically.","クポフォーチュンの報酬を自動で選択する。1枚のクポフォーチュン引換券を即座に完了できるが、次のクポ券へ自動で進むことはできない。"
"YesAlready","","","","Automatically send a retainer on the same venture as before when receiving an item.","アイテムを受け取った際、リテイナーを前回と同じ調達依頼に自動で送り出す。"
"YesAlready","","","","Automatically store glamours regardless of having all the pieces.","すべての部位が揃っていなくても、ミラプリを自動的に登録する。"
"YesAlready","","","","Automatically store glamours. Only activates if you have all pieces.","ミラージュを自動で保管する。すべての部位が揃っている場合のみ作動する。"
"YesAlready","","","","Automatically turn in any available collectibles for Custom Deliveries.","お得意様取引で納品可能な収集品を自動で納品する。"
"YesAlready","","","","Automatically update portraits.","ポートレートを自動で更新する。"
"YesAlready","","","","BannerPreview","ポートレートプレビュー"
"YesAlready","","","","Battle","戦闘"
"YesAlready","","","","Battle (7)","戦闘 (7)"
"YesAlready","","","","Bothers","その他"
"YesAlready","","","","Category","カテゴリー"
"YesAlready","","","","Check ""Desynthesize entire stack"" when confirming desynthesis.","分解を確定する際に「スタック全体を分解」にチェックを入れる。"
"YesAlready","","","","Check ""Guarantee NQ item results"" when confirming desynthesis.","分解を確定する際に「NQアイテムの入手を保証」にチェックを入れる。"
"YesAlready","","","","Clear","クリア"
"YesAlready","","","","Clear All","すべてクリア"
"YesAlready","","","","Clear I","マテリアをクリア"
"YesAlready","","","","Clear II","マテリラをクリア"
"YesAlready","","","","Clear III","マテリダをクリア"
"YesAlready","","","","Clear IV","マテリガをクリア"
"YesAlready","","","","Clear IX","オメガマテリジャをクリア"
"YesAlready","","","","Clear V","マテリジャをクリア"
"YesAlready","","","","Clear VI","ハイマテリジャをクリア"
"YesAlready","","","","Clear VII","メガマテリジャをクリア"
"YesAlready","","","","Clear VIII","エクスマテリジャをクリア"
"YesAlready","","","","Clear X","アルテマテリジャをクリア"
"YesAlready","","","","Clear XI","ハイオメガマテリジャをクリア"
"YesAlready","","","","Clear XII","ハイアツテマテリジャをクリア"
"YesAlready","","","","Click Yes","「はい」をクリック"
"YesAlready","","","","Clicks Yes in various dialogs you've specified.","指定した各種ダイアログで「はい」をクリックする。"
"YesAlready","","","","Condition Restricted","条件で制限"
"YesAlready","","","","Conditions can either be their name (case sensitive) or ID. They must be comma separated if there are multiple. Condition restricted only allows the match to go through if all conditions are met. If you would like to invert a condition, put a ""!"" in front of it.","条件は名前（大文字・小文字を区別）またはIDで指定できます。複数指定する場合は、カンマで区切ってください。「条件で制限」を有効にすると、すべての条件を満たした場合のみ実行されます。条件を反転したい場合は、条件の前に「!」を付けてください。"
"YesAlready","","","","Conditions List","条件一覧"
"YesAlready","","","","Confirm glamour outfit conversion.","まとめて幻影化を確定する。"
"YesAlready","","","","ContentsFinderConfirm","コンテンツファインダー確認"
"YesAlready","","","","ContentsFinderConfirm - One Time","コンテンツファインダー確認 - 1回のみ"
"YesAlready","","","","Control","Control"
"YesAlready","","","","Copy all","すべてコピー"
"YesAlready","","","","Crafting","制作過程/結果"
"YesAlready","","","","CrossLinkShell1","CrossLinkShell1"
"YesAlready","","","","CrossLinkShell2","CrossLinkShell2"
"YesAlready","","","","CrossLinkShell3","CrossLinkShell3"
"YesAlready","","","","CrossLinkShell4","CrossLinkShell4"
"YesAlready","","","","CrossLinkShell5","CrossLinkShell5"
"YesAlready","","","","CrossLinkShell6","CrossLinkShell6"
"YesAlready","","","","CrossLinkShell7","CrossLinkShell7"
"YesAlready","","","","CrossLinkShell8","CrossLinkShell8"
"YesAlready","","","","CrossParty","クロスパーティー"
"YesAlready","","","","Currently only supports number extraction","現在は数値の抽出にのみ対応しています。"
"YesAlready","","","","Custom","カスタム"
"YesAlready","","","","CustomEmote","カスタム感情表現/エモート"
"YesAlready","","","","Damage","ダメージを与えた"
"YesAlready","","","","Debug","Debug"
"YesAlready","","","","Delete","削除"
"YesAlready","","","","Desynthesis and Aetherial Reduction","分解・精選"
"YesAlready","","","","Disable Hotkey","ホットキーを無効化"
"YesAlready","","","","Display the status of the YesAlready in the Server Info Bar (DTR Bar). Clicking toggles the plugin.","サーバー情報バー（DTRバー）にYesAlreadyの状態を表示する。クリックするとプラグインの有効／無効を切り替える。"
"YesAlready","","","","DoH","クラフター"
"YesAlready","","","","DoH (3)","クラフター (3)"
"YesAlready","","","","DoL","ギャザラー"
"YesAlready","","","","DoL (3)","ギャザラー (3)"
"YesAlready","","","","DTR","DTR"
"YesAlready","","","","Duties","コンテンツ"
"YesAlready","","","","Echo","/echoで出力するテキスト"
"YesAlready","","","","Enabled","有効"
"YesAlready","","","","Enter into the input all or part of the selected taret name while in a talk dialog.
For example: ""Moyce"" in the Crystarium.

Alternatively, wrap your text in forward slashes to use as a regex.
As such: ""/(Moyce|Eirikur)/""

To skip your retainers, add the summoning bell.

Right click a line to view options.
Double click an entry for quick enable/disable.
Ctrl-Shift right click a line to delete it and any children.

Currently supported list addons:
  - Talk
","会話ダイアログ中に、選択中のターゲット名の全部または一部を入力する。"
"YesAlready","","","","ErrorMessage","エラーメッセージ"
"YesAlready","","","","Eureka/Bozja lockboxes, forgotten fragments, and more. Warning: this does not check if you are maxed on items. Rate limiter (pause after N items).","エウレカ／ボズヤのロックボックス、ロストシャード、その他。警告：アイテムの所持上限に達しているかどうかは確認しません。レートリミッター（N個処理した後に一時停止）。"
"YesAlready","","","","FashionCheck","ファッションチェック"
"YesAlready","","","","FGSEnterDialog","Fall Guysイベント参加"
"YesAlready","","","","FGSExitDialog","Fall Guysイベント退出"
"YesAlready","","","","Fill with current target","現在のターゲットを入力する"
"YesAlready","","","","Fill with current zone","現在のエリアを入力"
"YesAlready","","","","Forays","特殊フィールド"
"YesAlready","","","","Forced Yes Hotkey","強制的に「はい」を選択するホットキー"
"YesAlready","","","","FreeCompany","フリーカンパニー"
"YesAlready","","","","FreeCompanyAnnouncement","フリーカンパニーアナウンス"
"YesAlready","","","","FreeCompanyLoginLogout","フリーカンパニーメンバーのログイン通知"
"YesAlready","","","","FrontlineRecord","フロントライン結果"
"YesAlready","","","","GainBuff","バフステータスを与えた"
"YesAlready","","","","GainDebuff","デバフステータスを与えた"
"YesAlready","","","","Gathering","採集過程/結果"
"YesAlready","","","","GatheringSystemMessage","採集に関するシステムメッセージ"
"YesAlready","","","","Glamour","ミラプリ"
"YesAlready","","","","GlamourNotifications","武具投影通知情報"
"YesAlready","","","","GmFreeCompany","Gmフリーカンパニー"
"YesAlready","","","","GmLinkshell1","GmLinkshell1"
"YesAlready","","","","GmLinkshell2","GmLinkshell2"
"YesAlready","","","","GmLinkshell3","GmLinkshell3"
"YesAlready","","","","GmLinkshell4","GmLinkshell4"
"YesAlready","","","","GmLinkshell5","GmLinkshell5"
"YesAlready","","","","GmLinkshell6","GmLinkshell6"
"YesAlready","","","","GmLinkshell7","GmLinkshell7"
"YesAlready","","","","GmLinkshell8","GmLinkshell8"
"YesAlready","","","","GmNoviceNetwork","GmNoviceNetwork"
"YesAlready","","","","GmParty","GmParty"
"YesAlready","","","","GmSay","GmSay"
"YesAlready","","","","GmShout","GmShout"
"YesAlready","","","","GmTell","GmTell"
"YesAlready","","","","GmYell","GmYell"
"YesAlready","","","","Grade","グレード"
"YesAlready","","","","GrandCompanySupplyReward","グランドカンパニー納品報酬"
"YesAlready","","","","Greater than","より大きい"
"YesAlready","","","","Greater than or equal","以上"
"YesAlready","","","","GuildLeveDifficulty","ギルドリーヴの難易度"
"YesAlready","","","","Healing","回復を与えた"
"YesAlready","","","","HWDLottery","蒼天街復興くじ"
"YesAlready","","","","ID","ID"
"YesAlready","","","","InclusionShop","ショップ取引"
"YesAlready","","","","Is Conditional","条件付き"
"YesAlready","","","","Item","アイテムの使用/中断"
"YesAlready","","","","ItemInspectionResult","アイテム鑑定結果"
"YesAlready","","","","JournalAccept","ジャーナルを受注する"
"YesAlready","","","","JournalResult","ジャーナル結果"
"YesAlready","","","","Less than","未満"
"YesAlready","","","","Less than or equal","以下"
"YesAlready","","","","List","一覧"
"YesAlready","","","","LobbyDKTCheck","ロビーでのダンジョン・トライアル確認"
"YesAlready","","","","Log","ログ"
"YesAlready","","","","Log Filter","ログフィルター"
"YesAlready","","","","LookingForGroup x SelectYesno","パーティ募集 × 「はい」を選択"
"YesAlready","","","","LootNotice","戦利品の通知"
"YesAlready","","","","LootRoll","ロットイン情報"
"YesAlready","","","","LoseBuff","バフステータスが切れた"
"YesAlready","","","","LoseDebuff","デバフステータスが切れた"
"YesAlready","","","","LotteryWeeklyInput","ウィークリーくじ入力画面"
"YesAlready","","","","LovmResult","ロード・オブ・ヴァーミニオン結果"
"YesAlready","","","","Ls1","Ls1"
"YesAlready","","","","Ls2","Ls2"
"YesAlready","","","","Ls3","Ls3"
"YesAlready","","","","Ls4","Ls4"
"YesAlready","","","","Ls5","Ls5"
"YesAlready","","","","Ls6","Ls6"
"YesAlready","","","","Ls7","Ls7"
"YesAlready","","","","Ls8","Ls8"
"YesAlready","","","","Materia","マテリア"
"YesAlready","","","","MateriaAttachDialog","マテリア装着ダイアログ"
"YesAlready","","","","MateriaRetrieveDialog","マテリア回収ダイアログ"
"YesAlready","","","","MessageBook","交流帳の新着メッセージ"
"YesAlready","","","","Minigames and Special Events","ミニゲーム・特殊イベント"
"YesAlready","","","","MiragePrismExecute","武具投影実行"
"YesAlready","","","","MiragePrismRemove","武具投影解除"
"YesAlready","","","","Miss","攻撃に失敗した"
"YesAlready","","","","MKSRecord","クリスタルコンフリクト結果"
"YesAlready","","","","Mode##TransmuteMode","モード##TransmuteMode"
"YesAlready","","","","Name","名前"
"YesAlready","","","","None","なし"
"YesAlready","","","","Note:","注："
"YesAlready","","","","Notice","Notice"
"YesAlready","","","","NoviceNetwork","ビギナーチャンネル"
"YesAlready","","","","NoviceNetworkSystem","ビギナーチャンネルアナウンス"
"YesAlready","","","","NPCDialogue","NPC会話"
"YesAlready","","","","NPCDialogueAnnouncements","NPC会話（アナウンス）"
"YesAlready","","","","Numerics","数値関連"
"YesAlready","","","","Ok","OK"
"YesAlready","","","","Open this plugin's interface","このプラグインのインターフェースを開く"
"YesAlready","","","","Open this plugin's settings","このプラグインの設定を開く"
"YesAlready","","","","Orchestrion","オーケストリオン"
"YesAlready","","","","Other","その他"
"YesAlready","","","","Outdated/not shown materia are automatically blacklisted","古い／表示されていないマテリアは自動的にブラックリストに登録される"
"YesAlready","","","","Parameters:","パラメータ："
"YesAlready","","","","Party","Party"
"YesAlready","","","","Percent of Max##49167281","最大値に対する割合##49167281"
"YesAlready","","","","Percentage","パーセンテージ"
"YesAlready","","","","PeriodicRecruitmentNotification","パーティ募集の新着情報"
"YesAlready","","","","Progress","進行状況"
"YesAlready","","","","PurifyResult","鑑定結果"
"YesAlready","","","","PvP","PvP"
"YesAlready","","","","PvPTeam","PvPチーム"
"YesAlready","","","","PvpTeamAnnouncement","PvPチームアナウンス"
"YesAlready","","","","PvpTeamLoginLogout","PvPチームメンバーのログイン通知"
"YesAlready","","","","RaceChocoboResult","チョコボレース結果"
"YesAlready","","","","RandomNumber","ダイスメッセージ"
"YesAlready","","","","Rate limiter (pause after N items, 0 to disable).","レートリミッター（N個処理した後に一時停止、0で無効）。"
"YesAlready","","","","Remember the last panel visited on the scrip exchange window.","スクリップ取引ウィンドウで最後に表示したパネルを記憶する。"
"YesAlready","","","","Remove the Desynthesis menu confirmation.","分解メニューの確認を省略する。"
"YesAlready","","","","Remove the materia melding confirmation menu.","マテリア禁断の確認を省略する。"
"YesAlready","","","","Remove the retrieve materia confirmation.","マテリア回収の確認を省略する。"
"YesAlready","","","","Request","リクエスト"
"YesAlready","","","","RetainerItemTransferList","リテイナーへのアイテム移動一覧"
"YesAlready","","","","RetainerItemTransferProgress","リテイナーへのアイテム移動進捗"
"YesAlready","","","","Retainers and Submersibles","リテイナー・潜水艦"
"YesAlready","","","","RetainerSale","リテイナー販売"
"YesAlready","","","","RetainerTaskAsk","リテイナー依頼確認"
"YesAlready","","","","RetainerTaskResult","リテイナー依頼結果"
"YesAlready","","","","SalvageDialog","分解ダイアログ"
"YesAlready","","","","SalvageDialog - Entire stack","分解ダイアログ - スタック全体"
"YesAlready","","","","SalvageDialog - Guarantee NQ","分解ダイアログ - NQ保証"
"YesAlready","","","","SalvageResult","分解結果"
"YesAlready","","","","SatisfactionSupply","お得意様納品"
"YesAlready","","","","Say","Say"
"YesAlready","","","","Select I","ア"
"YesAlready","","","","Select II","ラ"
"YesAlready","","","","Select III","ダ"
"YesAlready","","","","Select IV","ガ"
"YesAlready","","","","Select IX","オメガ"
"YesAlready","","","","Select the chat channel for YesAlready messages to output to.","YesAlreadyのメッセージを出力するチャットチャンネルを選択する。"
"YesAlready","","","","Select V","ジャ"
"YesAlready","","","","Select VI","ハイジャ"
"YesAlready","","","","Select VII","メガ"
"YesAlready","","","","Select VIII","エクス"
"YesAlready","","","","Select X","アルテマ"
"YesAlready","","","","Select XI","ハイオメガ"
"YesAlready","","","","Select XII","ハイアルテマ"
"YesAlready","","","","Separate Yes/Talk","「はい」と「話す」を分ける"
"YesAlready","","","","Settings","設定"
"YesAlready","","","","ShopCardDialog","ショップカードダイアログ"
"YesAlready","","","","ShopExchangeItemDialog","ショップ交換アイテムダイアログ"
"YesAlready","","","","Shops","ショップ"
"YesAlready","","","","Shout","Shout"
"YesAlready","","","","Sign","Sign"
"YesAlready","","","","Skip the confirmation in the final dialog before sending out a retainer.","リテイナーを送り出す前の最終確認画面を省略する。"
"YesAlready","","","","Skip the confirmation in the RetainerItemTransferList window to entrust all items to the retainer.","リテイナーに全アイテムを預ける際の確認画面を省略する。"
"YesAlready","","","","Skip the confirmation when submitting Grand Company expert delivery items.","グランドカンパニーの希少品調達で納品する際の確認画面を省略する。"
"YesAlready","","","","Sort by Name","名前順に並べ替え"
"YesAlready","","","","StandardEmote","感情表現/エモート"
"YesAlready","","","","SystemError","システムエラー"
"YesAlready","","","","SystemMessage","システムメッセージ"
"YesAlready","","","","Talk","会話"
"YesAlready","","","","Target Restricted","ターゲット制限あり"
"YesAlready","","","","TellIncoming","TellIncoming"
"YesAlready","","","","TellOutgoing","TellOutgoing"
"YesAlready","","","","This is not used for anything, it's just a note to help remember what this bother does.","これは何かに使用されるものではなく、この機能が何をするものかを覚えておくためのメモです。"
"YesAlready","","","","TradeMultiple","複数交換"
"YesAlready","","","","Urgent","Urgent"
"YesAlready","","","","Whether to submit all of the same materia at once or try to use all different.","同じマテリアをすべて一度に納品するか、すべて異なるマテリアを使うか。"
"YesAlready","","","","While this key is held, any Yes/No prompt will always default to yes, and all talk dialogue will be skipped. Be careful.","このキーを押している間、すべての「はい／いいえ」確認は常に「はい」が選択され、会話はすべてスキップされます。注意してください。"
"YesAlready","","","","While this key is held, the plugin is disabled.","このキーを押している間、プラグインは無効になります。"
"YesAlready","","","","WKSReward","コスモエクスプローラー報酬"
"YesAlready","","","","Yell","Yell"
"YesAlready","","","","YesNo","はい・いいえ"
"YesAlready","","","","Zone List","エリア一覧"
"YesAlready","","","","Zone Restricted","エリアで制限"
"YesAlready","","","","Add some text here! ()","ここにテキストを追加してください！ ()"
"YesAlready","","","","(100%) Add some text here!","（100%）ここにテキストを追加してください！"
